Phrase,Total Gematria Value
ויהי כאשר כלה יצחק לברך את־יעקב ויהי אך יצא יצא יעקב מאת פני יצחק אביו ועשו אחיו בא מצידו,3454
ויעש גם־הוא מטעמים ויבא לאביו ויאמר לאביו יקם אבי ויאכל מציד בנו בעבור תברכני נפשך,2868
ויאמר לו יצחק אביו מי־אתה ויאמר אני בנך בכרך עשו,1984
ויחרד יצחק חרדה גדלה עד־מאד ויאמר מי־אפוא הוא הצד־ציד ויבא לי ואכל מכל בטרם תבוא ואברכהו גם־ברוך יהיה,2831
כשמע עשו את־דברי אביו ויצעק צעקה גדלה ומרה עד־מאד ויאמר לאביו ברכני גם־אני אבי,3100
ויאמר בא אחיך במרמה ויקח ברכתך,1352
ויאמר הכי קרא שמו יעקב ויעקבני זה פעמים את־בכרתי לקח והנה עתה לקח ברכתי ויאמר הלא־אצלת לי ברכה,5184
ויען יצחק ויאמר לעשו הן גביר שמתיו לך ואת־כל־אחיו נתתי לו לעבדים ודגן ותירש סמכתיו ולכה אפוא מה אעשה בני,5764
ויאמר עשו אל־אביו הברכה אחת הוא־לך אבי ברכני גם־אני אבי וישא עשו קלו ויבך,2665
ויען יצחק אביו ויאמר אליו הנה משמני הארץ יהיה מושבך ומטל השמים מעל,2481
ועל־חרבך תחיה ואת־אחיך תעבד והיה כאשר תריד ופרקת עלו מעל צוארך,4191
וישטם עשו את־יעקב על־הברכה אשר ברכו אביו ויאמר עשו בלבו יקרבו ימי אבל אבי ואהרגה את־יעקב אחי,4323
ויגד לרבקה את־דברי עשו בנה הגדל ותשלח ותקרא ליעקב בנה הקטן ותאמר אליו הנה עשו אחיך מתנחם לך להרגך,5351
ועתה בני שמע בקלי וקום ברח־לך אל־לבן אחי חרנה,1902
וישבת עמו ימים אחדים עד אשר־תשוב חמת אחיך,2767
עד־שוב אף־אחיך ממך ושכח את אשר־עשית לו ושלחתי ולקחתיך משם למה אשכל גם־שניכם יום אחד,5320
ותאמר רבקה אל־יצחק קצתי בחיי מפני בנות חת אם־לקח יעקב אשה מבנות־חת כאלה מבנות הארץ למה לי חיים,5475
ויקרא יצחק אל־יעקב ויברך אתו ויצוהו ויאמר לו לא־תקח אשה מבנות כנען,3332
קום לך פדנה ארם ביתה בתואל אבי אמך וקח־לך משם אשה מבנות לבן אחי אמך,3016
ואל שדי יברך אתך ויפרך וירבך והיית לקהל עמים,2314
ויתן־לך את־ברכת אברהם לך ולזרעך אתך לרשתך את־ארץ מגריך אשר־נתן אלהים לאברהם,5871
וישלח יצחק את־יעקב וילך פדנה ארם אל־לבן בן־בתואל הארמי אחי רבקה אם יעקב ועשו,3382
וירא עשו כי־ברך יצחק את־יעקב ושלח אתו פדנה ארם לקחת־לו משם אשה בברכו אתו ויצו עליו לאמר לא־תקח אשה מבנות כנען,6696
וישמע יעקב אל־אביו ואל־אמו וילך פדנה ארם,1188
וירא עשו כי רעות בנות כנען בעיני יצחק אביו,2316
וילך עשו אל־ישמעאל ויקח את־מחלת ׀ בת־ישמעאל בן־אברהם אחות נביות על־נשיו לו לאשה,4801
ויצא יעקב מבאר שבע וילך חרנה,1233
ויפגע במקום וילן שם כי־בא השמש ויקח מאבני המקום וישם מראשתיו וישכב במקום ההוא,3745
ויחלם והנה סלם מצב ארצה וראשו מגיע השמימה והנה מלאכי אלהים עלים וירדים בו,2435
והנה יהוה נצב עליו ויאמר אני יהוה אלהי אברהם אביך ואלהי יצחק הארץ אשר אתה שכב עליה לך אתננה ולזרעך,3810
והיה זרעך כעפר הארץ ופרצת ימה וקדמה וצפנה ונגבה ונברכו בך כל־משפחת האדמה ובזרעך,3816
והנה אנכי עמך ושמרתיך בכל אשר־תלך והשבתיך אל־האדמה הזאת כי לא אעזבך עד אשר אם־עשיתי את אשר־דברתי לך,6633
וייקץ יעקב משנתו ויאמר  אכן יש יהוה במקום הזה ואנכי לא ידעתי,2675
ויירא ויאמר מה־נורא המקום הזה אין זה כי אם־בית אלהים וזה שער השמים,2619
וישכם יעקב בבקר ויקח את־האבן אשר־שם מראשתיו וישם אתה מצבה ויצק שמן על־ראשה,5344
ויקרא את־שם־המקום ההוא בית־אל ואולם לוז שם־העיר לראשנה,3046
וידר יעקב נדר לאמר אם־יהיה אלהים עמדי ושמרני בדרך הזה אשר אנכי הולך ונתן־לי לחם לאכל ובגד ללבש,3782
ושבתי בשלום אל־בית אבי והיה יהוה לי לאלהים,1760
והאבן הזאת אשר־שמתי מצבה יהיה בית אלהים וכל אשר תתן־לי עשר אעשרנו לך,5087
וישא יעקב רגליו וילך ארצה בני־קדם,1316
וירא והנה באר בשדה והנה־שם שלשה עדרי־צאן רבצים עליה כי מן־הבאר ההוא ישקו העדרים והאבן גדלה על־פי הבאר,4314
ונאספו־שמה כל־העדרים וגללו את־האבן מעל פי הבאר והשקו את־הצאן והשיבו את־האבן על־פי הבאר למקמה,4264
ויאמר להם יעקב אחי מאין אתם ויאמרו מחרן אנחנו,1751
ויאמר להם הידעתם את־לבן בן־נחור ויאמרו ידענו,2063
ויאמר להם השלום לו ויאמרו שלום והנה רחל בתו באה עם־הצאן,2364
ויאמר הן עוד היום גדול לא־עת האסף המקנה השקו הצאן ולכו רעו,2238
ויאמרו לא נוכל עד אשר יאספו כל־העדרים וגללו את־האבן מעל פי הבאר והשקינו הצאן,3106
עודנו מדבר עמם ורחל ׀ באה עם־הצאן אשר לאביה כי רעה הוא,1906
ויהי כאשר ראה יעקב את־רחל בת־לבן אחי אמו ואת־צאן לבן אחי אמו ויגש יעקב ויגל את־האבן מעל פי הבאר וישק את־צאן לבן אחי אמו,5378
וישק יעקב לרחל וישא את־קלו ויבך,1758
ויגד יעקב לרחל כי אחי אביה הוא וכי בן־רבקה הוא ותרץ ותגד לאביה,2116
ויהי כשמע לבן את־שמע ׀ יעקב בן־אחתו וירץ לקראתו ויחבק־לו וינשק־לו ויביאהו אל־ביתו ויספר ללבן את כל־הדברים האלה,5420
ויאמר לו לבן אך עצמי ובשרי אתה וישב עמו חדש ימים,2376
ויאמר לבן ליעקב הכי־אחי אתה ועבדתני חנם הגידה לי מה־משכרתך,2743
וללבן שתי בנות שם הגדלה לאה ושם הקטנה רחל,2462
ועיני לאה רכות ורחל היתה יפת־תאר ויפת מראה,3305
ויאהב יעקב את־רחל ויאמר אעבדך שבע שנים ברחל בתך הקטנה,2802
ויאמר לבן טוב  תתי אתה לך מתתי אתה לאיש אחר שבה עמדי,3859
ויעבד יעקב ברחל שבע שנים ויהיו בעיניו כימים אחדים באהבתו אתה,2476
ויאמר יעקב אל־לבן הבה את־אשתי כי מלאו ימי ואבואה אליה,1910
ויאסף לבן את־כל־אנשי המקום ויעש משתה,2373
ויהי בערב ויקח את־לאה בתו ויבא אתה אליו ויבא אליה,1811
ויתן לבן לה את־זלפה שפחתו ללאה בתו שפחה,2767
ויהי בבקר והנה־הוא לאה ויאמר אל־לבן מה־זאת עשית לי הלא ברחל עבדתי עמך ולמה רמיתני,3775
ויאמר לבן לא־יעשה כן במקומנו לתת הצעירה לפני הבכירה,2691
מלא שבע זאת ונתנה לך גם־את־זאת בעבדה אשר תעבד עמדי עוד שבע־שנים אחרות,4915
ויעש יעקב כן וימלא שבע זאת ויתן־לו את־רחל בתו לו לאשה,3426
ויתן לבן לרחל בתו את־בלהה שפחתו לה לשפחה,2919
ויבא גם אל־רחל ויאהב גם־את־רחל מלאה ויעבד עמו עוד שבע־שנים אחרות,2788
וירא יהוה כי־שנואה לאה ויפתח את־רחמה ורחל עקרה,2448
ותהר לאה ותלד בן ותקרא שמו ראובן כי אמרה כי־ראה יהוה בעניי כי עתה יאהבני אישי,4035
ותהר עוד ותלד בן ותאמר כי־שמע יהוה כי־שנואה אנכי ויתן־לי גם־את־זה ותקרא שמו שמעון,5250
ותהר עוד ותלד בן ותאמר עתה הפעם ילוה אישי אלי כי־ילדתי לו שלשה בנים על־כן קרא־שמו לוי,5033
ותהר עוד ותלד בן ותאמר הפעם אודה את־יהוה על־כן קראה שמו יהודה ותעמד מלדת,4314
ותרא רחל כי לא ילדה ליעקב ותקנא רחל באחתה ותאמר אל־יעקב הבה־לי בנים ואם־אין מתה אנכי,4026
ויחר־אף יעקב ברחל ויאמר התחת אלהים אנכי אשר־מנע ממך פרי־בטן,3076
ותאמר הנה אמתי בלהה בא אליה ותלד על־ברכי ואבנה גם־אנכי ממנה,2344
ותתן־לו את־בלהה שפחתה לאשה ויבא אליה יעקב,2711
ותהר בלהה ותלד ליעקב בן,1357
ותאמר רחל דנני אלהים וגם שמע בקלי ויתן־לי בן על־כן קראה שמו דן,3120
ותהר עוד ותלד בלהה שפחת רחל בן שני ליעקב,2823
ותאמר רחל נפתולי אלהים ׀ נפתלתי עם־אחתי גם־יכלתי ותקרא שמו נפתלי,5182
ותרא לאה כי עמדה מלדת ותקח את־זלפה שפחתה ותתן אתה ליעקב לאשה,4906
ותלד זלפה שפחת לאה ליעקב בן,1650
ותאמר לאה בגד כ בא ק גד ק ותקרא את־שמו גד,2383
ותלד זלפה שפחת לאה בן שני ליעקב,2010
ותאמר לאה באשרי כי אשרוני בנות ותקרא את־שמו אשר,4206
וילך ראובן בימי קציר־חטים וימצא דודאים בשדה ויבא אתם אל־לאה אמו ותאמר רחל אל־לאה תני־נא לי מדודאי בנך,3591
ותאמר לה המעט קחתך את־אישי ולקחת גם את־דודאי בני ותאמר רחל לכן ישכב עמך הלילה תחת דודאי בנך,5563
ויבא יעקב  מן־השדה בערב ותצא לאה לקראתו ותאמר אלי תבוא כי שכר שכרתיך בדודאי בני וישכב עמה בלילה הוא,5377
וישמע אלהים אל־לאה ותהר ותלד ליעקב בן חמישי,2262
ותאמר לאה נתן אלהים שכרי אשר־נתתי שפחתי לאישי ותקרא שמו יששכר,6192
ותהר עוד לאה ותלד בן־ששי ליעקב ,2041
ותאמר לאה זבדני אלהים ׀ אתי זבד טוב הפעם יזבלני אישי כי־ילדתי לו ששה בנים ותקרא את־שמו זבלון,4684
ואחר ילדה בת ותקרא את־שמה דינה,2188
ויזכר אלהים את־רחל וישמע אליה אלהים ויפתח את־רחמה,2684
ותהר ותלד בן ותאמר אסף אלהים את־חרפתי,3076
ותקרא את־שמו יוסף לאמר יסף יהוה לי בן אחר,2358
ויהי כאשר ילדה רחל את־יוסף ויאמר יעקב אל־לבן שלחני ואלכה אל־מקומי ולארצי,2972
תנה את־נשי ואת־ילדי אשר עבדתי אתך בהן ואלכה כי אתה ידעת את־עבדתי אשר עבדתיך,6018
ויאמר אליו לבן אם־נא מצאתי חן בעיניך נחשתי ויברכני יהוה בגללך,2416
ויאמר נקבה שכרך עלי ואתנה,1526
ויאמר אליו אתה ידעת את אשר עבדתיך ואת אשר־היה מקנך אתי,4151
כי מעט אשר־היה לך לפני ויפרץ לרב ויברך יהוה אתך לרגלי ועתה מתי אעשה גם־אנכי לביתי,4349
ויאמר מה אתן־לך ויאמר יעקב לא־תתן־לי  מאומה אם־תעשה־לי הדבר הזה אשובה ארעה צאנך אשמר,4631
אעבר בכל־צאנך היום הסר משם כל־שה ׀ נקד וטלוא וכל־שה־חום בכשבים וטלוא ונקד בעזים והיה שכרי,3439
וענתה־בי צדקתי ביום מחר כי־תבוא על־שכרי לפניך כל אשר־איננו נקד וטלוא בעזים וחום בכשבים גנוב הוא אתי,4633
ויאמר לבן הן לו יהי כדברך,701
ויסר ביום ההוא את־התישים העקדים והטלאים ואת כל־העזים הנקדות והטלאת כל  אשר־לבן בו וכל־חום בכשבים ויתן ביד־בניו,5127
וישם דרך שלשת ימים בינו ובין יעקב ויעקב רעה את־צאן לבן הנותרת,4176
ויקח־לו יעקב מקל לבנה לח ולוז וערמון  ויפצל בהן פצלות לבנות מחשף הלבן אשר על־המקלות,4122
ויצג את־המקלות אשר פצל ברהטים בשקתות המים אשר תבאן הצאן לשתות לנכח הצאן ויחמנה בבאן לשתות,7161
ויחמו הצאן אל־המקלות ותלדן הצאן עקדים נקדים וטלאים,1988
והכשבים הפריד יעקב ויתן פני הצאן אל־עקד וכל־חום בצאן לבן וישת־לו עדרים לבדו ולא שתם על־צאן לבן,4374
והיה בכל־יחם הצאן המקשרות ושם יעקב את־המקלות לעיני הצאן ברהטים ליחמנה במקלות,4146
ובהעטיף הצאן לא ישים והיה העטפים ללבן והקשרים ליעקב,1944
ויפרץ האיש מאד מאד ויהי־לו צאן רבות ושפחות ועבדים וגמלים וחמרים,2973
וישמע את־דברי בני־לבן לאמר לקח יעקב את כל־אשר לאבינו ומאשר לאבינו עשה את כל־הכבד הזה,4349
וירא יעקב את־פני לבן והנה איננו עמו כתמול שלשום,2493
ויאמר יהוה אל־יעקב שוב אל־ארץ אבותיך ולמולדתך ואהיה עמך,2258
וישלח יעקב ויקרא לרחל וללאה השדה אל־צאנו,1685
ויאמר להן ראה אנכי את־פני אביכן כי־איננו אלי כתמל שלשם ואלהי אבי היה עמדי,2810
ואתנה ידעתן כי בכל־כחי עבדתי את־אביכן,2086
ואביכן התל בי והחלף  את־משכרתי עשרת מנים ולא־נתנו אלהים להרע עמדי,4204
אם־כה יאמר נקדים יהיה שכרך וילדו כל־הצאן נקדים ואם־כה יאמר עקדים יהיה שכרך וילדו כל־הצאן עקדים,3140
ויצל אלהים את־מקנה אביכם ויתן־לי,1397
ויהי בעת יחם הצאן ואשא עיני וארא בחלום והנה העתדים העלים על־הצאן עקדים נקדים וברדים,3135
ויאמר אלי מלאך האלהים בחלום יעקב ואמר הנני,1110
ויאמר שא־נא עיניך וראה כל־העתדים העלים על־הצאן עקדים נקדים וברדים כי ראיתי את כל־אשר לבן עשה לך,4761
אנכי האל בית־אל אשר משחת שם מצבה אשר נדרת לי שם נדר עתה קום צא מן־הארץ הזאת ושוב אל־ארץ מולדתך,6722
ותען רחל ולאה ותאמרנה לו העוד לנו חלק ונחלה בבית אבינו,2435
הלוא נכריות נחשבנו לו כי מכרנו ויאכל גם־אכול את־כספנו,2310
כי כל־העשר אשר הציל אלהים מאבינו לנו הוא ולבנינו ועתה כל אשר אמר אלהים אליך עשה,3533
ויקם יעקב וישא את־בניו ואת־נשיו על־הגמלים,2125
וינהג את־כל־מקנהו ואת־כל־רכשו אשר רכש מקנה קנינו אשר רכש בפדן ארם לבוא אל־יצחק אביו ארצה כנען,5322
ולבן הלך לגזז את־צאנו ותגנב רחל את־התרפים אשר לאביה,3122
ויגנב יעקב את־לב לבן הארמי על־בלי הגיד לו כי ברח הוא,1476
ויברח הוא וכל־אשר־לו ויקם ויעבר את־הנהר וישם את־פניו הר הגלעד,3156
ויגד ללבן ביום השלישי כי ברח יעקב,1270
ויקח את־אחיו עמו וירדף אחריו דרך שבעת ימים וידבק אתו בהר הגלעד,3135
ויבא אלהים אל־לבן הארמי בחלם הלילה ויאמר לו השמר לך פן־תדבר עם־יעקב מטוב עד־רע,2951
וישג לבן את־יעקב ויעקב תקע את־אהלו בהר ולבן תקע את־אחיו בהר הגלעד,3795
ויאמר לבן ליעקב מה עשית ותגנב את־לבבי ותנהג את־בנתי כשביות חרב,4557
למה נחבאת לברח ותגנב אתי ולא־הגדת לי ואשלחך בשמחה ובשרים בתף ובכנור,4181
ולא נטשתני לנשק לבני ולבנתי עתה הסכלת עשו,3292
יש־לאל ידי לעשות עמכם רע ואלהי אביכם אמש ׀ אמר אלי לאמר השמר לך מדבר עם־יעקב מטוב עד־רע,4194
ועתה הלך הלכת כי־נכסף נכספתה לבית אביך למה גנבת את־אלהי,3298
ויען יעקב ויאמר ללבן כי יראתי כי אמרתי פן־תגזל את־בנותיך מעמי,3638
עם אשר תמצא את־אלהיך לא יחיה נגד אחינו הכר־לך מה עמדי וקח־לך ולא־ידע יעקב כי רחל גנבתם,3479
ויבא לבן באהל יעקב ׀ ובאהל לאה ובאהל שתי האמהת ולא מצא ויצא מאהל לאה ויבא באהל רחל,2288
ורחל לקחה את־התרפים ותשמם בכר הגמל ותשב עליהם וימשש לבן את־כל־האהל ולא מצא,4870
ותאמר אל־אביה אל־יחר בעיני אדני כי לוא אוכל לקום מפניך כי־דרך נשים לי ויחפש ולא מצא את־התרפים,4054
ויחר ליעקב וירב בלבן ויען יעקב ויאמר ללבן מה־פשעי מה חטאתי כי דלקת אחרי,3186
כי־מששת את־כל־כלי מה־מצאת מכל כלי־ביתך שים כה נגד אחי ואחיך ויוכיחו בין שנינו,3779
זה עשרים שנה אנכי עמך רחליך ועזיך לא שכלו ואילי צאנך  לא אכלתי,2676
טרפה לא־הבאתי אליך אנכי אחטנה מידי תבקשנה גנבתי יום וגנבתי לילה,2946
הייתי ביום אכלני חרב וקרח בלילה ותדד שנתי מעיני,2559
זה־לי עשרים שנה בביתך עבדתיך ארבע־עשרה שנה בשתי בנתיך ושש שנים בצאנך ותחלף את־משכרתי עשרת מנים,8538
לולי אלהי אבי אלהי אברהם ופחד יצחק היה לי כי עתה ריקם שלחתני את־עניי ואת־יגיע  כפי ראה אלהים ויוכח אמש,4282
ויען לבן ויאמר אל־יעקב הבנות בנתי והבנים בני והצאן צאני וכל אשר־אתה ראה לי־הוא ולבנתי מה־אעשה לאלה היום או לבניהן אשר ילדו,5063
ועתה לכה נכרתה ברית אני ואתה והיה לעד ביני ובינך,2586
ויקח יעקב אבן וירימה מצבה,767
ויאמר יעקב לאחיו לקטו אבנים ויקחו אבנים ויעשו־גל ויאכלו שם על־הגל,1951
ויקרא־לו לבן יגר שהדותא ויעקב קרא לו גלעד,1996
ויאמר לבן הגל הזה עד ביני ובינך היום על־כן קרא־שמו  גלעד,1613
והמצפה אשר אמר יצף יהוה ביני ובינך כי נסתר איש מרעהו,2706
אם־תענה את־בנתי ואם־תקח נשים על־בנתי אין איש עמנו ראה אלהים עד ביני ובינך,4010
ויאמר לבן ליעקב הנה ׀ הגל הזה והנה המצבה  אשר יריתי ביני ובינך,2165
עד הגל הזה ועדה המצבה אם־אני לא־אעבר  אליך את־הגל הזה ואם־אתה לא־תעבר אלי את־הגל הזה ואת־המצבה הזאת לרעה,4199
אלהי אברהם ואלהי נחור ישפטו בינינו אלהי אביהם וישבע יעקב בפחד אביו יצחק,2138
ויזבח יעקב זבח בהר ויקרא לאחיו לאכל־לחם ויאכלו לחם וילינו בהר,1440
וישכם לבן בבקר וינשק לבניו ולבנותיו ויברך אתהם וילך וישב לבן למקמו,3202
ויעקב הלך לדרכו ויפגעו־בו מלאכי אלהים,873
ויאמר יעקב כאשר ראם מחנה אלהים זה ויקרא שם־המקום ההוא מחנים,2415
וישלח יעקב מלאכים לפניו אל־עשו אחיו ארצה שעיר שדה אדום,2521
ויצו אתם לאמר כה תאמרון לאדני לעשו כה אמר עבדך  יעקב עם־לבן גרתי ואחר עד־עתה,4160
ויהי־לי שור וחמור צאן ועבד ושפחה ואשלחה להגיד לאדני למצא־חן בעיניך,2337
וישבו המלאכים אל־יעקב לאמר באנו אל־אחיך אל־עשו וגם הלך לקראתך וארבע־מאות איש עמו,3498
ויירא יעקב מאד ויצר לו ויחץ את־העם אשר־אתו ואת־הצאן ואת־הבקר והגמלים לשני מחנות,4629
ויאמר אם־יבוא עשו אל־המחנה האחת והכהו והיה המחנה הנשאר לפליטה,2142
ויאמר יעקב אלהי אבי אברהם ואלהי אבי יצחק יהוה האמר אלי שוב לארצך ולמולדתך ואיטיבה עמך,2690
קטנתי מכל החסדים ומכל־האמת אשר עשית את־עבדך כי במקלי עברתי את־הירדן הזה ועתה הייתי לשני מחנות,6497
הצילני נא מיד אחי מיד עשו כי־ירא אנכי אתו פן־יבוא והכני אם על־בנים,1961
ואתה אמרת היטב איטיב עמך ושמתי את־זרעך כחול הים אשר לא־יספר מרב,3938
וילן שם בלילה ההוא ויקח מן־הבא בידו מנחה לעשו אחיו,1308
עזים מאתים ותישים עשרים רחלים מאתים ואילים עשרים,3500
גמלים מיניקות ובניהם שלשים פרות ארבעים ופרים עשרה אתנת עשרים ועירם  עשרה,5824
ויתן ביד־עבדיו עדר עדר לבדו ויאמר אל־עבדיו עברו לפני ורוח תשימו בין עדר ובין עדר,3646
ויצו את־הראשון לאמר כי יפגשך  עשו אחי ושאלך  לאמר למי־אתה ואנה תלך ולמי אלה לפניך,4122
ואמרת לעבדך ליעקב מנחה הוא שלוחה לאדני לעשו והנה גם־הוא אחרינו,2346
ויצו גם את־השני גם את־השלישי גם את־כל־ההלכים אחרי העדרים לאמר כדבר הזה תדברון אל־עשו במצאכם אתו,5355
ואמרתם גם הנה עבדך יעקב אחרינו כי־אמר אכפרה פניו במנחה ההלכת לפני ואחרי־כן אראה פניו אולי ישא פני,3947
ותעבר המנחה על־פניו והוא לן בלילה־ההוא במחנה,1329
ויקם ׀ בלילה הוא ויקח את־שתי נשיו ואת־שתי שפחתיו ואת־אחד עשר ילדיו ויעבר את מעבר יבק,5930
ויקחם ויעברם את־הנחל ויעבר את־אשר־לו ,2212
ויותר יעקב לבדו ויאבק איש עמו עד עלות השחר,2485
וירא כי לא יכל לו ויגע בכף־ירכו ותקע כף־ירך יעקב בהאבקו עמו,2121
ויאמר שלחני כי עלה השחר ויאמר לא אשלחך כי אם־ברכתני,2703
ויאמר אליו מה־שמך ויאמר יעקב,1148
ויאמר לא יעקב יאמר עוד שמך כי אם־ישראל כי־שרית עם־אלהים ועם־אנשים ותוכל,3888
וישאל יעקב ויאמר הגידה־נא שמך ויאמר למה זה תשאל לשמי ויברך אתו שם,3664
ויקרא יעקב שם המקום פניאל כי־ראיתי אלהים פנים אל־פנים ותנצל נפשי,3345
ויזרח־לו השמש כאשר עבר את־פנואל והוא צלע על־ירכו,2817
על־כן לא־יאכלו בני־ישראל את־גיד הנשה אשר על־כף הירך עד היום הזה כי נגע בכף־ירך יעקב בגיד הנשה,3783
וישא יעקב עיניו וירא והנה עשו בא ועמו ארבע מאות איש ויחץ את־הילדים על־לאה ועל־רחל ועל שתי השפחות,5169
וישם את־השפחות ואת־ילדיהן ראשנה ואת־לאה וילדיה אחרנים ואת־רחל ואת־יוסף אחרנים,4962
והוא עבר לפניהם וישתחו ארצה שבע פעמים עד־גשתו עד־אחיו,3025
וירץ עשו לקראתו ויחבקהו ויפל על־צוארו  וישקהו  ויבכו,2556
וישא את־עיניו וירא את־הנשים ואת־הילדים ויאמר מי־אלה לך ויאמר הילדים אשר־חנן אלהים את־עבדך,4334
ותגשן השפחות הנה וילדיהן ותשתחוין,2913
ותגש גם־לאה וילדיה וישתחוו ואחר נגש יוסף ורחל וישתחוו,3293
ויאמר מי לך כל־המחנה הזה אשר פגשתי ויאמר למצא־חן בעיני אדני,2509
ויאמר עשו יש־לי רב אחי יהי לך אשר־לך,1830
ויאמר יעקב אל־נא אם־נא מצאתי חן בעיניך ולקחת מנחתי מידי כי על־כן ראיתי פניך כראת פני אלהים ותרצני,5074
קח־נא את־ברכתי אשר הבאת לך כי־חנני אלהים וכי יש־לי־כל ויפצר־בו ויקח,3339
ויאמר נסעה ונלכה ואלכה לנגדך,722
ויאמר אליו אדני ידע כי־הילדים רכים והצאן והבקר עלות עלי ודפקום יום אחד ומתו כל־הצאן,2886
יעבר־נא אדני לפני עבדו ואני אתנהלה  לאטי לרגל המלאכה אשר־לפני ולרגל הילדים עד אשר־אבא אל־אדני שעירה,3921
ויאמר עשו אציגה־נא עמך מן־העם אשר אתי ויאמר למה זה אמצא־חן בעיני אדני,2781
וישב ביום ההוא עשו לדרכו שעירה,1614
ויעקב נסע סכתה ויבן לו בית ולמקנהו עשה סכת על־כן קרא שם־המקום סכות,3949
ויבא יעקב שלם עיר שכם אשר בארץ כנען בבאו מפדן ארם ויחן את־פני העיר,3521
ויקן את־חלקת השדה אשר נטה־שם אהלו מיד בני־חמור אבי שכם במאה קשיטה,3581
ויצב־שם מזבח ויקרא־לו אל אלהי ישראל,1476
ותצא דינה בת־לאה אשר ילדה ליעקב לראות בבנות הארץ,3159
וירא אתה שכם בן־חמור החוי נשיא הארץ ויקח אתה וישכב אתה ויענה,3390
ותדבק נפשו בדינה בת־יעקב ויאהב את־הנער וידבר על־לב הנער,3032
ויאמר שכם אל־חמור אביו לאמר קח־לי את־הילדה הזאת לאשה,2544
ויעקב שמע כי טמא את־דינה בתו ובניו היו את־מקנהו בשדה והחרש יעקב עד־באם,3382
ויצא חמור אבי־שכם אל־יעקב לדבר אתו,1590
ובני יעקב באו מן־השדה כשמעם ויתעצבו האנשים ויחר להם מאד כי־נבלה עשה בישראל לשכב את־בת־יעקב וכן לא יעשה,5331
וידבר חמור אתם לאמר שכם בני חשקה נפשו בבתכם תנו נא אתה לו לאשה,4208
והתחתנו אתנו בנתיכם תתנו־לנו ואת־בנתינו תקחו לכם,4325
ואתנו תשבו והארץ תהיה לפניכם שבו וסחרוה והאחזו בה,2756
ויאמר שכם אל־אביה  ואל־אחיה אמצא־חן בעיניכם ואשר תאמרו אלי אתן,2765
הרבו עלי מאד מהר ומתן ואתנה כאשר תאמרו אלי ותנו־לי את־הנער לאשה,4344
ויענו בני־יעקב את־שכם ואת־חמור אביו במרמה וידברו אשר טמא את דינה אחתם,3812
ויאמרו אליהם לא נוכל לעשות הדבר הזה לתת את־אחתנו לאיש אשר־לו ערלה כי־חרפה הוא לנו,4820
אך־בזאת נאות לכם אם תהיו כמנו להמל לכם כל־זכר,2028
ונתנו את־בנתינו לכם ואת־בנתיכם נקח־לנו וישבנו אתכם והיינו לעם אחד,3769
ואם־לא תשמעו אלינו להמול ולקחנו את־בתנו והלכנו,2278
וייטבו דבריהם בעיני חמור ובעיני שכם בן־חמור,1514
ולא־אחר הנער לעשות הדבר כי חפץ בבת־יעקב והוא נכבד מכל בית אביו,2997
ויבא חמור ושכם בנו אל־שער עירם וידברו אל־אנשי עירם לאמר,2829
האנשים האלה שלמים הם אתנו וישבו בארץ ויסחרו אתה והארץ הנה רחבת־ידים לפניהם את־בנתם נקח־לנו לנשים ואת־בנתינו נתן להם,7000
אך־בזאת יאתו לנו האנשים לשבת אתנו להיות לעם אחד בהמול לנו כל־זכר כאשר הם נמלים,4315
מקנהם וקנינם וכל־בהמתם הלוא לנו הם אך נאותה להם וישבו אתנו,2546
וישמעו אל־חמור ואל־שכם בנו כל־יצאי שער עירו וימלו כל־זכר כל־יצאי שער עירו,3575
ויהי ביום השלישי בהיותם כאבים ויקחו שני־בני־יעקב שמעון ולוי אחי דינה איש חרבו ויבאו על־העיר בטח ויהרגו כל־זכר,4083
ואת־חמור ואת־שכם בנו הרגו לפי־חרב ויקחו את־דינה מבית שכם ויצאו,3555
בני יעקב באו על־החללים ויבזו העיר אשר טמאו אחותם,1804
את־צאנם ואת־בקרם ואת־חמריהם  ואת אשר־בעיר ואת־אשר בשדה לקחו,4594
ואת־כל־חילם ואת־כל־טפם ואת־נשיהם שבו ויבזו ואת כל־אשר בבית,3654
ויאמר יעקב אל־שמעון ואל־לוי עכרתם אתי להבאישני בישב הארץ בכנעני ובפרזי ואני מתי מספר ונאספו עלי והכוני ונשמדתי אני וביתי,6291
ויאמרו הכזונה יעשה את־אחותנו,1613
ויאמר אלהים אל־יעקב קום עלה בית־אל ושב־שם ועשה־שם מזבח לאל הנראה אליך בברחך  מפני עשו אחיך,3886
ויאמר יעקב אל־ביתו ואל כל־אשר עמו הסרו את־אלהי הנכר אשר בתככם והטהרו והחליפו שמלתיכם,4784
ונקומה ונעלה בית־אל ואעשה־שם מזבח לאל הענה אתי ביום צרתי ויהי עמדי בדרך אשר הלכתי,4297
ויתנו  אל־יעקב את כל־אלהי הנכר אשר בידם ואת־הנזמים אשר באזניהם ויטמן אתם יעקב תחת האלה אשר עם־שכם,5747
ויסעו ויהי ׀ חתת אלהים על־הערים אשר סביבתיהם ולא רדפו אחרי בני יעקב,3322
ויבא יעקב לוזה אשר בארץ כנען הוא בית־אל הוא וכל־העם אשר־עמו,2488
